Participation Code,Gender,Age,Education,STAI-T Total,STAI-S Total_Session1,STAI-S Total_Session2,PANAS Positive Total_Session1,PANAS Positive Total_Session2,PANAS Negative Total_Session1,PANAS Negative Total_Session2,BFI_Open-Mindedness,BFI_Extraversion,BFI_Conscientiousness,BFI_Agreeableness,BFI_Negative Emotionality,AReA_AA,AReA_IAE,AReA_CB,AReA_Overall,Movement Familiarity_1,Movement Familiarity_2,Movement Familiarity_3,Movement Familiarity_4,Movement Familiarity_5
5,,,,,,,,,,,,,,,,,,,,,,,,
S01pdb1,1.0,23.0,5.0,54.0,57.0,,45.0,,47.0,,10.0,5.0,9.0,11.0,15.0,2.727272727272727,1.25,1.0,2.357142857142857,1.0,1.0,0.0,1.0,0.0
S02pdb1,1.0,27.0,6.0,39.0,33.0,36.0,49.0,43.0,29.0,28.0,11.0,9.0,10.0,12.0,8.0,3.1818181818181817,2.5,2.0,3.142857142857143,2.0,1.0,3.0,2.0,2.0
S05pdb1,,,,,,54.0,,32.0,,23.0,,,,,,,,,,,,,,
S06pdb1,,,,,,47.0,,32.0,,21.0,,,,,,,,,,,,,,
S07pdb1,2.0,23.0,5.0,53.0,50.0,49.0,36.0,33.0,26.0,24.0,7.0,5.0,9.0,14.0,12.0,2.5454545454545454,2.0,1.0,2.2142857142857144,3.0,2.0,0.0,1.0,1.0
S08pdb1,2.0,32.0,6.0,37.0,45.0,35.0,27.0,38.0,19.0,23.0,12.0,14.0,11.0,11.0,7.0,4.363636363636363,3.5,2.3333333333333335,3.7857142857142856,1.0,1.0,1.0,1.0,1.0
S08pdb1,,,,,,35.0,,38.0,,23.0,,,,,,,,,,,,,,
S10pdb1,2.0,19.0,2.0,58.0,54.0,50.0,26.0,22.0,19.0,15.0,11.0,8.0,9.0,13.0,11.0,3.8181818181818183,2.75,3.3333333333333335,3.5,3.0,5.0,2.0,4.0,4.0
S12pdb1,2.0,21.0,2.0,43.0,46.0,58.0,30.0,32.0,28.0,23.0,10.0,9.0,12.0,12.0,9.0,4.0,4.0,3.6666666666666665,3.928571428571429,4.0,1.0,3.0,5.0,2.0
S13pdb1,2.0,23.0,6.0,47.0,44.0,,36.0,,25.0,,9.0,8.0,9.0,14.0,7.0,4.454545454545454,4.75,2.3333333333333335,4.142857142857143,5.0,2.0,2.0,,4.0
S15pdb1,2.0,20.0,2.0,53.0,53.0,,38.0,,35.0,,12.0,8.0,10.0,8.0,12.0,3.1818181818181817,1.75,3.6666666666666665,3.142857142857143,3.0,2.0,1.0,1.0,1.0
S15pdb1,2.0,20.0,2.0,57.0,55.0,,44.0,,49.0,,11.0,8.0,11.0,10.0,13.0,3.4545454545454546,2.5,4.0,3.357142857142857,3.0,2.0,2.0,1.0,1.0
S16PDB1,2.0,24.0,5.0,51.0,37.0,,32.0,,21.0,,14.0,8.0,11.0,13.0,10.0,4.181818181818182,3.25,3.6666666666666665,3.928571428571429,3.0,5.0,4.0,1.0,1.0
S16PDB1,2.0,24.0,5.0,47.0,37.0,,34.0,,22.0,,14.0,9.0,9.0,12.0,10.0,4.2727272727272725,3.25,4.0,4.071428571428571,1.0,3.0,3.0,,
S19PDB1 ,2.0,19.0,2.0,47.0,38.0,,24.0,,17.0,,14.0,8.0,8.0,13.0,8.0,3.909090909090909,2.5,3.6666666666666665,3.642857142857143,4.0,4.0,4.0,3.0,4.0
S19pdb1,,,,,,47.0,,26.0,,20.0,,,,,,,,,,,,,,
